pageName,name,xpath,tagName,role,classname,width,height,size,topX,topY,fullArea,whiteSpace,whiteSpaceRatio,titleKeywords,textLength,avgWordLength,fullStopsRatio,numberOfVerticalBars,numberOfDateTokens,numberOfImages,numberOfTables,wordFrequency,numberOfLinks,wordFrequencyInLinks,wordFrequencyInLinksToAll,averageSentenceLength,ratioOfTermsToAll,ratioOfUppercaseWordsToAll,textSimilarity,structureSimilarity,structureSimilarity_Levenshtein,background_color,fontSize,borderWidth,borderStyle,borderColor,color,marginTop,marginRight,marginBottom,marginLeft,paddingTop,paddingRight,paddingBottom,paddingLeft,shape,label
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,745.0,3050.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,745.0,3580.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,11,876,0,8,602,210.0,210.0,0.001274042235063828,745.0,4110.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,745.0,4640.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,499.0,3050.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,253.0,3050.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,499.0,3580.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,11,876,0,8,602,210.0,210.0,0.001274042235063828,499.0,4110.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,499.0,4640.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,10,876,0,8,602,210.0,210.0,0.001274042235063828,253.0,3580.0,0.0,0.0012671325639372981,1.0,0,0.0,0.00036913990402362494,0.0,0,0,1,0,0.00036913990402362494,0,0.0,0.0,0.0,0.000598086,0.0,0.0,1.0,100.0,0.0,13.0,0,1,0.0015678406696224612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
